Lat,lng,time
34.06815592,-118.45239541,1487967377056
34.06815434,-118.45237871,1487967378051
34.06815337,-118.45236239,1487967379064
34.06815295,-118.45234494,1487967380048
34.06815347,-118.45232585,1487967381052
34.06815942,-118.45230806,1487967382035
34.06816455,-118.45228981,1487967383038
34.06817106,-118.45227513,1487967384052
34.06817988,-118.45226407,1487967385055
34.0681879,-118.45225525,1487967386057
34.06819364,-118.45224322,1487967387044
34.0681987,-118.45223022,1487967388052
34.06819533,-118.45221331,1487967389036
34.0681842,-118.45219356,1487967390045
34.06817114,-118.45217201,1487967391048
34.06816323,-118.45215749,1487967392052
34.0681577,-118.45214881,1487967393072
34.06815434,-118.45213541,1487967394053
34.06815058,-118.45212057,1487967395046
34.06814732,-118.45210645,1487967396051
34.06813756,-118.45209729,1487967397071
34.06812958,-118.45208441,1487967398071
34.06811854,-118.45207753,1487967399057
34.06811988,-118.45206533,1487967400050
34.06813199,-118.45205013,1487967401049
34.06814093,-118.45203116,1487967402056
34.06814434,-118.45201084,1487967403051
34.06814656,-118.45199112,1487967404036
34.06813719,-118.45197326,1487967405036
34.06813286,-118.45195947,1487967406064
34.06812972,-118.45194344,1487967407055
34.06813105,-118.45193806,1487967408056
34.06813487,-118.45194372,1487967409050
34.06813452,-118.45193567,1487967410049
34.06813664,-118.45192057,1487967411045
34.06813766,-118.45190563,1487967412052
34.06814738,-118.45189181,1487967413071
34.06814843,-118.45187269,1487967414074
34.06814493,-118.45185227,1487967415054
34.06814217,-118.45183715,1487967416045
34.06814494,-118.45182084,1487967417046
34.0681447,-118.45180419,1487967418046
34.06814036,-118.45178975,1487967419044
34.06813641,-118.45177429,1487967420045
34.06813776,-118.45175672,1487967421052
34.06813978,-118.45174085,1487967422045
34.06814017,-118.45172227,1487967423055
34.06814833,-118.45170577,1487967424047
34.06815768,-118.45169298,1487967425043
34.06816818,-118.4516796,1487967426058
34.06817805,-118.45166814,1487967427064
34.06818945,-118.45165667,1487967428046
34.06820091,-118.45164354,1487967429044
34.06821041,-118.45162949,1487967430063
34.06821821,-118.45161499,1487967431047
34.06822834,-118.45160269,1487967432027
34.06824241,-118.45158793,1487967433027
34.06825405,-118.45157341,1487967434050
34.06826151,-118.45155664,1487967435032
34.06827061,-118.45153848,1487967436087
34.06827682,-118.45152055,1487967437088
34.06828475,-118.45150393,1487967438056
34.06829058,-118.45149069,1487967439072
34.06830105,-118.45148264,1487967440056
34.06831277,-118.45146952,1487967441051
34.06832135,-118.45145328,1487967442053
34.06832549,-118.45143933,1487967443043
34.06832891,-118.45142635,1487967444061
34.06833167,-118.45141155,1487967445052
34.06833615,-118.45139816,1487967446082
34.06834015,-118.45138917,1487967447053
34.06834963,-118.45137726,1487967448069
34.06835699,-118.45136164,1487967449059
34.06836638,-118.4513474,1487967450051
34.06837478,-118.45133536,1487967451050
34.06838488,-118.45131693,1487967452049
34.06839515,-118.45129919,1487967453049
34.06840282,-118.45128828,1487967454052
34.06840954,-118.45127764,1487967455079
34.06841827,-118.45126415,1487967456093
34.06842642,-118.45125136,1487967457050
34.06843273,-118.4512394,1487967458051
34.06843556,-118.45122836,1487967459047
34.06843879,-118.45121696,1487967460041
34.06844931,-118.45120347,1487967461049
34.06846609,-118.45119262,1487967462134
34.06848255,-118.45118226,1487967463060
34.06849844,-118.45117071,1487967464060
34.0685125,-118.45115649,1487967465053
34.06852304,-118.45114182,1487967466059
34.068533,-118.45112732,1487967467070
34.06854362,-118.45111608,1487967468075
34.06855423,-118.45110287,1487967469070
34.06856546,-118.45109151,1487967470129
34.06857463,-118.45108289,1487967471059
34.06858059,-118.45107181,1487967472063
34.06858467,-118.45106231,1487967473070
34.06859184,-118.45104768,1487967474067
34.06859757,-118.45103067,1487967475046
34.06859791,-118.45101719,1487967476044
34.06859607,-118.45100476,1487967477065
34.06859153,-118.45098969,1487967478076
34.06858651,-118.45097216,1487967479066
34.06857977,-118.45095581,1487967480175
34.06858208,-118.45093995,1487967481058
34.06859023,-118.45092528,1487967482055
34.06859854,-118.45091322,1487967483060
34.06858699,-118.45089359,1487967484065
34.06857081,-118.45087753,1487967485080
34.06855709,-118.45086406,1487967486047
34.06853892,-118.45085597,1487967487176
34.06852812,-118.45085222,1487967488073
34.06852037,-118.45084305,1487967489063
34.06850566,-118.45084041,1487967490042
34.06848724,-118.4508402,1487967491049
34.06846291,-118.45083524,1487967492026
34.06843907,-118.45083138,1487967493059
34.06841944,-118.4508313,1487967494060
34.06840173,-118.45083021,1487967495036
34.06838684,-118.4508273,1487967496041
34.0683777,-118.45082356,1487967497067
34.06836883,-118.45081658,1487967498058
34.06836072,-118.45080282,1487967499065
34.06835287,-118.45078652,1487967500058
34.06834684,-118.45076486,1487967501069
34.06833747,-118.45074192,1487967502069
34.06832329,-118.45071928,1487967503067
34.06830668,-118.45070255,1487967504074
34.06830052,-118.45067863,1487967505064
34.06830442,-118.45066055,1487967506067
34.06830491,-118.45064211,1487967507043
34.06831056,-118.45064847,1487967508054
34.06830396,-118.4506619,1487967509052
34.06828267,-118.45064733,1487967510040
34.0682655,-118.45063259,1487967511037
34.06825343,-118.45062989,1487967512051
34.06824537,-118.45062716,1487967513064
34.06823407,-118.45061867,1487967514058
34.06821891,-118.45060629,1487967515050
34.06820087,-118.45059573,1487967516044
34.06818559,-118.45058229,1487967517056
34.06817518,-118.45057004,1487967518050
34.06816335,-118.45055174,1487967519055
34.068151,-118.45053576,1487967520046
34.06813644,-118.45052458,1487967521034
34.06812206,-118.45051464,1487967522044
34.06810759,-118.45050439,1487967523061
34.06809401,-118.45049783,1487967524081
34.06808228,-118.45048435,1487967525080
34.06807096,-118.45047662,1487967526075
34.06805895,-118.45046555,1487967527064
34.06804855,-118.45045604,1487967528042
34.06803463,-118.45044919,1487967529046
34.06802465,-118.45044478,1487967530047
34.06801439,-118.45043845,1487967531062
34.06800433,-118.45042822,1487967532062
34.067992,-118.45041259,1487967533066
34.06798279,-118.45039807,1487967534046
34.06797047,-118.45038707,1487967535050
34.06795879,-118.45037581,1487967536075
34.06795221,-118.45036285,1487967537057
34.06794298,-118.45034913,1487967538066
34.06792732,-118.45034036,1487967539044
34.06791407,-118.45032853,1487967540045
34.06790263,-118.45032088,1487967541074
34.0678895,-118.45031102,1487967542068
34.06787555,-118.45030093,1487967543060
34.06786359,-118.45028732,1487967544062
34.06785689,-118.45027111,1487967545115
34.06785384,-118.45025602,1487967546066
34.06784065,-118.45024345,1487967547039
34.06783391,-118.45023808,1487967548027
34.06782389,-118.45023544,1487967549026
34.06780973,-118.45023013,1487967550043
34.06779973,-118.45022375,1487967551069
34.06779173,-118.4502171,1487967552050
34.067781,-118.45020649,1487967553054
34.06776877,-118.45019594,1487967554051
34.0677584,-118.45018218,1487967555059
34.06775062,-118.45016568,1487967556041
34.06774231,-118.45015033,1487967557039
34.06773449,-118.45013405,1487967558051
34.06772511,-118.45011668,1487967559065
34.06771347,-118.45009705,1487967560065
34.06770318,-118.45007981,1487967561048
34.06769266,-118.45006774,1487967562080
34.06768246,-118.45005945,1487967563056
34.06766746,-118.4500498,1487967564054
34.06765349,-118.45004293,1487967565040
34.06764015,-118.45003687,1487967566047
34.06763091,-118.45002473,1487967567077
34.06762004,-118.45001208,1487967568069
34.06760986,-118.44999821,1487967569066
34.06759636,-118.44998674,1487967570060
34.06758116,-118.44997254,1487967571045
34.06756947,-118.44996313,1487967572041
34.0675574,-118.44996099,1487967573068
34.06754354,-118.44995438,1487967574050
34.0675417,-118.44994238,1487967575046
34.06753487,-118.44992951,1487967576048
34.06752939,-118.44991785,1487967577049
